Column1,Column2,Column3,Column4,Column5,Column6
重量,じゅうりょう,heavyweight,,,
重力,じゅうりょく,gravity,,,
熟語,じゅくご,"idiom, kanji compound",,,
祝日,しゅくじつ,national holiday,,,
受験,じゅけん,taking an examination,,,
主語,しゅご,(gram) subject,,,
主人,しゅじん,(one's own) husband,,,
出勤,しゅっきん,"going to work, at work",,,
述語,じゅつご,predicate,,,
寿命,じゅみょう,life span,,,
主役,しゅやく,leading part,,,
循環,じゅんかん,"circulation, rotation, cycle",,,
巡査,じゅんさ,policeman,,,
順々,じゅんじゅん,"in order, in turn",,,
順序,じゅんじょ,"order, sequence, procedure",,,
純情,じゅんじょう,pure heart,,,
女～,じょ～,things done by women,,,
～女,～じょ,count for sisters,,,
省～,しょう～,economizing ~,,,
～商,～しょう,"merchant, business",,,
～勝,～しょう,count for victory,,,
～条,～じょう,counter for article,,,
～畳,～じょう,"count for tatami, mat",,,
小学生,しょうがくせい,elementary school pupil,,,
しょうがない,しょうがない,It is not worth ~,,,
将棋,将[しょう]棋[ぎ],Japanese chess,,,
蒸気,じょうき,"steam, vapor",,,
定規,じょうぎ,(measuring) ruler,,,
上級,じょうきゅう,"advanced level, high grade, senior",,,
商業,商[しょう]業[ぎょう],"commerce, trade, business",,,
上下,じょうげ,"high and low, up and down",,,
障子,しょうじ,paper sliding door,,,
商社,しょうしゃ,trading company,,,
生ずる,生[しょう]ずる,"to cause, to arise, to be generated",,,
小数,しょうすう,"fraction (part of), decimal",,,
商店,商[しょう]店[てん],"shop, business firm",,,
焦点,しょうてん,"focus, point",,,
蒸発,じょうはつ,evaporation; unexplained disappearance,,,
上品,じょうひん,"refined, elegant, well-mannered",,,
小便,しょうべん,"(col) urine, piss",,,
正味,しょうみ,net (weight),,,
正面,しょうめん,front,,,
消耗,しょうもう,"exhaustion, consumption",,,
初級,しょきゅう,elementary level,,,
助教授,じょきょうじゅ,assistant professor,,,
～色,～しょく,kind of color,,,
食塩,しょくえん,table salt,,,
職人,しょくにん,"artisan, craftsman",,,
食器,しょっき,tableware,,,
ショップ,ショップ,a shop,,,
書店,しょてん,bookshop,,,
書道,しょどう,calligraphy,,,
初歩,初[しょ]歩[ほ],"elements, rudiments",,,
シリーズ,シリーズ,series,,,
私立,しりつ,private (establishment),,,
資料,しりょう,"materials, data",,,
汁,しる,"juice, soup",,,
素人,しろうと,"layman, amateur, novice",,,
しわ (かおの～),しわ (かおの～),"wrinkles, creases",,,
芯,しん,"core, heart, wick",,,
新幹線,しんかんせん,"Shinkansen, ""Bullet Train""",,,
真空,真[しん]空[くう],vacuum,,,
人事,じんじ,"human resources, personnel management",,,
信ずる,しんずる,to believe,,,
心身,しんしん,mind and body,,,
人造,じんぞう,"man-made, synthetic, artificial",,,
寝台,しんだい,bed,,,
侵入,侵[しん]入[にゅう],"invasion, raid, trespass",,,
人文科学,じんぶんかがく,"social sciences, humanities",,,
人命,じんめい,(human) life,,,
深夜,深[しん]夜[や],late at night,,,
針路,しんろ,"course, direction",,,
神話,しんわ,"myth, legend",,,
水産,すいさん,"marine products, fisheries",,,
水蒸気,すいじょうき,"water vapor, steam",,,
水素,すいそ,hydrogen,,,
垂直,垂[すい]直[ちょく],"vertical, perpendicular",,,
推定,すいてい,"presumption, assumption, estimation",,,
水滴,すいてき,drop of water,,,
水筒,すいとう,"canteen, flask, water bottle",,,
水分,すいぶん,moisture,,,
水平,すいへい,"level, horizontal",,,
水面,すいめん,water's surface,,,
図々しい,ずうずうしい,"impudent, shameless",,,
ずうっと,ずうっと,"all the time, all the way",,,
スカーフ,スカーフ,scarf,,,
図鑑,ずかん,picture book,,,
隙,すき,"unguarded moment, chance",,,
透き通る,すきとおる,to be(come) transparent,,,
隙間,すきま,"crack, gap, opening<br>spare moment, free time",,,
～過ぎる,～すぎる,too much ~,,,
スクール,スクール,school,,,
鈴,すず,bell,,,
スタート,スタート,start,,,
スチュワーデス,スチュワーデス,stewardess,,,
すっきり,すっきり,"shapely, clear, neat",,,
ストッキング,ストッキング,stockings,,,
ストップ,ストップ,stop,,,
素直,すなお,"obedient, meek, docile<br>honest, frank",na,,
頭脳,頭[ず]脳[のう],"head, brains, intellect",,,
スピーカー,スピーカー,speaker,,,
図表,ずひょう,"chart, diagram, graph",,,
スマート,スマート,"smart, stylish, slim",,,
住まい,すまい,"dwelling, house",,,
すまない,すまない,sorry (phrase),,,
～済,～ずみ,finished,,,
相撲,すもう,sumo wrestling,,,
スライド,スライド,slide,,,
ずらす,ずらす,"to put off, to delay",,,
ずらり,ずらり,"in a line, in a row",,,
スリッパ,スリッパ,slippers,,,
狡い,ずるい,"sly, cunning",,,
寸法,すんぽう,"measurement, size, dimension",,,
清書,せいしょ,clean copy,,,
青少年,せいしょうねん,"youth, young person",,,
整数,せいすう,integer,,,
清掃,せいそう,cleaning,,,
生存,せいぞん,"existence, being, survival",,,
政党,せいとう,(member of) political party,,,
成分,成[せい]分[ぶん],"ingredient, component, composition",,,
性別,せいべつ,"sex, gender",,,
正門,せいもん,"main gate, main entrance",,,
成立,せいりつ,"formation, establishment, completion",,,
西暦,せいれき,"Christian Era, after (Christ’s) death (A.D.)",,,
～席,～せき,counter for seats,,,
赤道,せきどう,equator,,,
折角,せっかく,"with trouble, at great pains, long-awaited",,,
接近,せっきん,"getting closer, drawing nearer, approaching",,,
接する,せっする,to attend to (someone); to associate with,,,
瀬戸物,せともの,"earthenware, crockery, china",,,
ぜひとも,ぜひとも,by all means (with sense of not taking 'no' for an answer),,,
セメント,セメント,cement,,,
台詞,せりふ,"speech, words, one's lines, remarks",,,
～船,～せん,counter for ships,,,
～戦,～せん,"counter for games, matches",,,
～前,～ぜん,before ~,,,
全集,ぜんしゅう,complete works,,,
扇子,せんす,folding fan,,,
専制,せんせい,"despotism, autocracy",,,
先々月,せんせんげつ,month before last,,,
先々週,せんせんしゅう,2 weeks before,,,
先祖,先[せん]祖[ぞ],ancestor,,,
先端,先[せん]端[たん],"pointed end, tip",,,
センチ,センチ,centimeter,,,
先頭,せんとう,"head, lead, vanguard",,,
全般,ぜんぱん,"(the) whole, general",,,
扇風機,せんぷうき,electric fan,,,
洗面,せんめん,"wash up (one's face), have a wash",,,
全力,ぜんりょく,"all one's power, whole energy",,,
～艘,～そう,counter for ships,,,
相違,そうい,"difference, discrepancy, variation",,,
そういえば,そういえば,which reminds me ..,,,
雑巾,ぞうきん,"house-cloth, dust cloth",,,
増減,ぞうげん,"increase and decrease, fluctuation",,,
相互,そうご,"mutual, reciprocal",,,
創作,創[そう]作[さく],"production, creation, work",,,
造船,ぞうせん,shipbuilding,,,
騒々しい,そうぞうしい,"noisy, boisterous",,,
そうっと,そうっと,"softly, cautiously, gently",,,
送別,そうべつ,"farewell, send-off",,,
草履,ぞうり,Japanese sandals (footwear),,,
総理大臣,そうりだいじん,Prime Minister,,,
送料,そうりょう,"postage, carriage",,,
～足,～そく,counter for shoes,,,
属する,ぞくする,"to belong to, to come under",,,
速達,そくたつ,"express, special delivery",,,
測量,そくりょう,"measurement, surveying",,,
速力,そくりょく,speed,,,
素質,素[そ]質[しつ],"talent, capability",,,
卒直,そっちょく,"frank, candid, honest",,,
そのころ,そのころ,"in those days, at that time, then",,,
そのため,そのため,"hence, for that reason",,,
その他,そのほか,besides,,,
剃る,そる,to shave,,,
それなのに,それなのに,"though, although",,,
それなら,それなら,"If that's the case..., If so..., That being the case...",,,
それはいけませんね (かん),それはいけませんね (かん),that's not good,,,
逸れる,それる,"to stray (turn) from subject, to go astray",,,
算盤,算盤[そろばん],abacus,,,
存じる,ぞんじる,(humble) to know,,,
存ずる,存[ぞん]ずる,(humble) to know,,,
損得,損[そん]得[とく],"loss and gain, advantage and disadvantage",,,
田ぼ,たんぼ,"paddy field, farm",,,
第～,だい～,~th,,,
だいいち (とりわけ),だいいち (とりわけ),"first, foremost,&nbsp;&nbsp;#1",,,
大工,だいく,carpenter,,,
体系,たいけい,"system, organization",,,
太鼓,たいこ,"drum, tambourine",,,
対策,たいさく,"counter-plan, counter-measure",,,
大小,だいしょう,size,,,
体制,たいせい,"order, system, structure",,,
大層,たいそう,"very much, greatly",,,
体操,たいそう,"gymnastics, physical exercises, calisthenics",,,
大分,だいぶん,"considerably, greatly, a lot",,,
大木,たいぼく,large tree,,,
代名詞,だいめいし,pronoun,,,
タイア,タイア,"tire, tyre",,,
ダイヤグラム,ダイヤグラム,diagram,,,
ダイヤモンド,ダイヤモンド,diamond,,,
ダイヤル,ダイヤル,dial,,,
田植え,たうえ,rice planting,,,
楕円,だえん,ellipse,,,
蓄える,蓄[たくわ]える,"to save, to store, to lay in stock",,,
竹,たけ,bamboo,,,
ただいま,ただいま,"Here I am, I'm home!",,,
但し,ただし,"but, however, provided that",,,
立ち止まる,たちどまる,"to stop, to halt, to stand still",,,
発,はつ,"to depart (e.g., on a plane, train)",,,
脱線,だっせん,"derailment, digression",,,
例える,たとえる,"to compare, to liken",,,
ダブル,ダブル,double,,,
ダム,ダム,dam,,,
溜息,ためいき,a sigh,,,
ためらう,,to be hesitant,,,
～だらけ,～だらけ,"be full of ~, be filled with ~",,,
足る,たる,"to be sufficient, to be enough",,,
～団,～だん,"group, corps, party",,,
オーケストラ,オーケストラ,orchestra,,,
おおざっぱ,おおざっぱ,"rough (not precise), broad, sketchy",,,
オートメーション,オートメーション,automation,,,
大凡,おおよそ,"about, approximately",,,
お帰り,おかえり,"return, welcome",,,
おかけください,おかけください,please sit down,,,
おかげさまで,おかげさまで,"Thanks to god, thanks to you",,,
おかず,おかず,"side dish, accompaniment for rice dishes",,,
おかまいなく,おかまいなく,please don't fuss over me,,,
拝む,おがむ,"to worship, to pray",,,
お代わり,おかわり,"second helping, another cup",,,
お気の毒に,おきのどくに,I'm sorry to hear that…,,,
屋外,おくがい,outdoors,,,
送り仮名,おくりがな,part of word written in kana,,,
お元気で,おげんきで,Take care',,,
怠る,おこたる,"to neglect, to fail",,,
お先に,おさきに,"before, after you",,,
伯父,おじ,(humble) uncle (older than one's parent),,,
叔父,おじ,uncle (younger than one's parent),,,
惜しい,おしい,"regrettable, disappointing",,,
伯父さん,おじさん,"(hon.) middle-aged gentleman, uncle",,older than parent,
小父さん,おじさん,"(hon.) middle-aged gentleman, uncle",,nonrelative,
叔父さん,おじさん,"(hon.) middle-aged gentleman, uncle",,younger than parant,
お邪魔します,おじゃまします,Excuse me for disturbing you,,,
お世話になりました,おせわになりました,I've been in your care,,,
お大事に,おだいじに,"Take care of yourself, Take care!, Get well soon",,,
落着く,おちつく,"to calm down, to settle down",,,
お出掛け,おでかけ,outing,,,
お手伝いさん,おてつだいさん,maid,,,
脅かす,おどかす,"to threaten, to coerce",,,
落し物,おとしもの,lost property,,,
驚かす,おどろかす,"to surprise, to frighten",,,
お願いします,おねがいします,"Please (lit., I request)",,,
伯母,おば,(humble) aunt (older than one's parent),,,
叔母,おば,aunt (younger than one's parent),,,
小母さん,おばさん,"lady, woman, ma'am",,,
おはよう,おはよう,(abbr.) Good morning,,,
お参り,おまいり,"worship, shrine visit",,,
お待たせしました,おまたせしました,Sorry to have kept you waiting,,,
お待ちください,おまちください,Please wait a moment,,,
おまちどおさま,おまちどおさま,Sorry to have kept you waiting,,,
おめでたい,おめでたい,"happy event, matter for congratulation",,,
思い掛けない,おもいがけない,"unexpected, casual",,,
重たい,おもたい,"heavy, massive, serious",,,
お休み,おやすみ,"holiday, absence; (exp.) Good night",,,
おやつ,おやつ,"between meal snack, afternoon refreshment",,,
親指,おやゆび,thumb,,,
オルガン,オルガン,organ,,,
恩恵,恩[おん]恵[けい],"blessing, benefit",,,
温室,温[おん]室[しつ],greenhouse,,,
温泉,おんせん,"spa, hot spring",,,
温帯,おんたい,temperate zone,,,
御中,おんちゅう,Messrs.,,,
～日,"～か, ~じつ","counter for days, days",,,
～下,～か,under ~,,,
～科,～ 科[か],"family, group, course",,,
～歌,～か,song of ~,,,
～画,～が,"picture, painting",,,
カーブ,カーブ,curve; curve ball (baseball),,,
外～,がい～,"foreign ~, outside ~",,,
～外,～がい,out of ~,,,
開会,かいかい,opening of a meeting,,,
会館,かいかん,"meeting hall, assembly hall",,,
解散,かいさん,"breakup, dissolution",,,
海水浴,かいすいよく,"sea bathing, seawater bath",,,
回数,かいすう,"number of times, frequency",,,
開通,かいつう,"opening, open",,,
回転,かいてん,"rotation, turning",,,
解答,かいとう,"answer, solution",,,
回答,かいとう,"reply, answer",,,
外部,がいぶ,"the outside, external",,,
解放,かいほう,"release, liberation, emancipation",,,
開放,かいほう,"open, throw open, liberalization",,,
海洋,かいよう,ocean,,,
概論,がいろん,"introduction, general remark",,,
却って,かえって,"on the contrary, rather",,,
家屋,かおく,"house, building",,,
係わる,係[かか]わる,"to concern oneself in, to be involved in",,,
書留,かきとめ,registered mail,,,
書取,かきとり,dictation,,,
垣根,かきね,hedge,,,
限り,かぎり,"limit(s), as far as possible",,,
架空,かくう,"imaginary, fiction, fanciful",,,
各自,かくじ,"individual, each",,,
拡充,かくじゅう,expansion,,,
学術,がくじゅつ,"science, learning, scholarship",,,
各地,かくち,various parts of the country,,,
拡張,かくちょう,"expansion, extension",,,
角度,かくど,angle,,,
学年,がくねん,"year in school, grade in school",,,
格別,かくべつ,exceptional,,,
確率,かくりつ,probability,,,
可決,かけつ,"approval, adoption (e.g., motion, bill), passage",,,
火口,かこう,crater (of a volcano),,,
下降,かこう,"decline, descent, fall",,,
火山,かざん,volcano,,,
かしこまりました,かしこまりました,Certainly,,,
貸し出し,かしだし,"lending, loaning",,,
過失,過[か]失[しつ],"error, mistake, negligence",,,
貸間,かしま,room to let,,,
貸家,かしや,house for rent,,,
箇所,かしょ,"place, point, part",,,
過剰,過[か]剰[じょう],"excess, over-",,,
課税,かぜい,taxation,,,
下線,かせん,"underline, underscore",,,
カセット,カセット,cassette (tape),,,
加速（度）,かそくど,acceleration,,,
塊,かたまり,"lump, mass, cluster",,,
片寄る,かたよる,"to be one-sided, to incline, to be partial",,,
～がち,～がち,tend to do ~,,,
学科[がっか],,"study subject, course of study",,,
学級,がっきゅう,"class (class 3a, class 5b, etc)",,,
括弧,かっこ,"parenthesis, brackets",,,
活字,かつじ,printing type,,,
勝手に,勝手[かって]に,"arbitrarily,",,,
活力,かつりょく,"vitality, energy",,,
仮名,かな,kana,,,
仮名遣い,かなづかい,"kana orthography, syllabary spelling",,,
兼ねる,かねる,to simultaneously serve two or more functions,,,
カバー,カバー,"cover (e.g., book)",,,
過半数,かはんすう,majority,,,
かび (～がはえる),かび (～がはえる),"mold, mildew",,,
被せる,かぶせる,to cover (with something),,,
釜,釜[かま],"iron pot, kettle",,,
構いません,かまいません,it's all right; one doesn’t mind,,,
紙屑,かみくず,wastepaper,,,
神様,かみさま,god,,,
剃刀,かみそり,razor,,,
ガム,ガム,chewing gum,,,
貨物,かもつ,"cargo, freight",,,
カラー,カラー,"collar, color",,,
からかう,からかう,"to ridicule, to make fun of",,,
空っぽ,からっぽ,"empty, vacant, hollow",,,
かるた,かるた,playing cards (POR: carta),,,
枯れる,かれる,"to wither, to die (plant), to be blasted (plant)",,,
カロリー,カロリー,calorie,,,
可愛がる,かわいがる,"to love, to be affectionate",,,
為替,かわせ,"money order, exchange",,,
瓦,かわら,roof tile,,,
～刊,～かん,"~ issued (magazine, newspaper)",,,
～間,～かん,"between, during",,,
～巻,～かん,volume,,,
～館,～かん,"~ hall, ~ building",,,
換気,かんき,ventilation,,,
感激,かんげき,"deep emotion, impression, inspiration",,,
関西,かんさい,"south-western half of Japan, including Osaka",,,
元日,がんじつ,New Year's Day,,,
鑑賞,かんしょう,appreciation,,,
感ずる,かんずる,"to feel, to sense",,,
間接,かんせつ,"indirect, indirectness",,,
観測,観[かん]測[そく],observation,,,
寒帯,かんたい,frigid zone,,,
官庁,かんちょう,"government office, authorities",,,
勘違い,かんちがい,"misunderstanding, wrong guess",,,
缶詰,かんづめ,"canning, canned goods,",,,
乾電池,かんでんち,"dry cell, battery",,,
関東,かんとう,"eastern half of Japan, including Tokyo",,,
観念,かんねん,"idea, notion; sense",,,
乾杯,かんぱい,Cheers! (a toast),,,
看板,看[かん]板[ばん],"sign, signboard",,,
冠,かんむり,"crown, wreath",,,
漢和,かんわ,"Chinese Character-Japanese (e.g., dictionary)",,,
～期,～ 期[き],"~age, ~period",,,
気圧,きあつ,atmospheric pressure,,,
着替え,きがえ,"changing clothes, change of clothes",,,
着替える,きがえる,to change (one's) clothes,,,
機関車,きかんしゃ,"locomotive, engine",,,
飢饉,ききん,famine,,,
器具,きぐ,instrument,,,
記号,きごう,"symbol, code",,,
儀式,ぎしき,"ceremony, rite, ritual",,,
基準,きじゅん,"standard, basis, criteria",,規準,
起床,きしょう,"rising, getting out of bed",,,
基礎,きそ,"foundation, basis",,fundamental,
基地,きち,base,,,
客間,きゃくま,"parlor, guest room",,,
ギャング,ギャング,gang,,,
キャンパス,キャンパス,campus,,,
給与,給[きゅう]与[よ],"pay, salary",,,
清い,きよい,"clear, pure, noble",,,
～教,～きょう,religion,,,
～行,～ぎょう,"line, row",,,
境界,きょうかい,boundary,,,
共産～,きょうさん～,communist ~,,,
恐縮,恐[きょう]縮[しゅく],sorry to trouble,,,
教養,きょうよう,"culture, education, sophistication",,,
漁業,ぎょぎょう,fishing (industry),,,
曲線,きょくせん,curve,,,
規律,きりつ,"order, rules, law",,,
斬る,きる,"to behead, to murder",,,
～きる,～きる,"nevertheless, to carry through",,,
～切れ,～きれ,out of ~,,,
気を付ける,きをつける,"to be careful, to pay attention, to take care",,,
金魚,きんぎょ,goldfish,,,
区域,くいき,"zone, district, area",,,
空～,くう～,empty ~,,,
偶数,ぐうすう,even number,,,
空想,空[くう]想[そう],"daydream, fantasy",,,
空中,くうちゅう,"sky, air",,,
クーラー,クーラー,air conditioner,,,
釘,釘[くぎ],nail,,,
区切る,くぎる,"to punctuate, to cut off, to mark off",,,
櫛,くし,comb,,,
苦心,くしん,"pain, trouble",,,
屑,くず,"waste, scrap",,,
薬指,くすりゆび,ring finger,,,
崩れる,くずれる,"to collapse, to crumble",,,
砕く,くだく,"to break, to smash",,,
砕ける,くだける,"to break, to be broken",,,
～口,～くち,"~ opening; ~ entrance, ~ exit",,,
唇,くちびる,lip,,,
口紅,くちべに,lipstick,,,
くっつく,くっつく,"to adhere to, to keep close to",,,
くっつける,くっつける,to attach,,,
句読点,句[く]読[とう]点[てん],punctuation marks,,,
配る,くばる,"to distribute, to deliver",,,
工夫,工[く]夫[ふう],"device, artifice, ingenuity",,,
区分,くぶん,"division, section, classification",,,
組合せ,くみあわせ,combination,,,
クリーニング,クリーニング,"cleaning, dry cleaning, laundry service",,,
くれぐれも,くれぐれも,"repeatedly, sincerely, earnestly",,,
～形,～けい,shape of ~,,,
～系,～けい,"~ system, ~ lineage, ~ group",,,
稽古,けいこ,"practice, training, study",,,
蛍光灯,けいこうとう,fluorescent lamp,,,
形式,けいしき,"form, formality, format",,,
継続,けいぞく,continuation,,,
経度,けいど,longitude,,,
系統,けいとう,"system, genealogy",,,
芸能,げいのう,"public entertainment, performing arts",,,
競馬,けいば,horse racing,,,
警備,けいび,"defense, guard, policing, security",,,
形容詞,けいようし,adjective,,,
形容動詞,けいようどうし,"adjectival noun, quasi-adjective",,,
毛皮,けがわ,"fur, skin, pelt",,,
激増,げきぞう,sudden increase,,,
下水,げすい,"drainage, sewage, ditch, gutter, sewerage",,,
桁,けた,"column, beam, digit",,,
下駄,下駄[げた],"(Japanese footwear), wooden clogs",,,
気配,けはい,"indication, sign, hint",,,
下品,げひん,"vulgar, indecent, coarse",,,
煙い,煙[けむ]い,smoky,,,
～圏,～ 圏[けん],"bloc, sphere, area",,,
見学,けんがく,"tour, study by observation",,,
原稿,げんこう,"manuscript, copy",,,
原産,げんさん,place of origin,,,
原始,げんし,"origin, primeval",,,
厳重,厳[げん]重[じゅう],"strict, severe, firm",,,
謙遜,けんそん,"humble, humility, modesty",,,
県庁,けんちょう,prefectural office,,,
限[げん]度[ど],,"limit, bounds",,,
現に,げんに,"actually, really",,,
顕微鏡,けんびきょう,microscope,,,
懸命,けんめい,"eagerness, strenuous",,,
原理,げんり,"principle, theory, fundamental truth",,,
原料,げんりょう,raw materials,,,
恋しい,恋[こい]しい,"dear, beloved; to miss",,,
～校,～こう,counter for school,,,
～港,～こう,~ port,,,
～号,～ごう,counter for magazine; the name of ship,,,
工員,こういん,factory worker,,,
高級,高[こう]級[きゅう],high class; first-rate,,,
公共,こうきょう,"public, community, communal",,,
孝行,こうこう,filial piety,,,
交差,こうさ,"crossing, intersection",,,
工事,こうじ,construction work,,,
公式,こうしき,"formula, formality, official",,,
口[こう]実[じつ],,excuse,,,
こうして,こうして,"like this, with this",,,
公衆,こうしゅう,the public,,,
香水,こうすい,perfume,,,
功績,こうせき,"achievements, merit",,,
光線,こうせん,"beam, light ray",,,
高層,こうそう,"tall, high rise",,,
構造,構[こう]造[ぞう],"structure, construction",,,
交替,こうたい,"change, relief, alteration",,,
耕地,こうち,arable land,,,
校庭,こうてい,school yard,,,
肯定,こうてい,"positive, affirmation",,,
高等,こうとう,"high class, high grade",,,
合同,ごうどう,"combination, incorporation",,,
高等学校,こうとうがっこう,senior high school,,,
公表,こうひょう,"official announcement, proclamation",,,
鉱物,こうぶつ,mineral,,,
公務,こうむ,"official business, public business",,,
項目,項[こう]目[もく],item,,,
紅葉,こうよう<br>もみじ,"fall colors (of leaves), leaves changing color<br>Japanese maple",suru<br>n,,
合理,ごうり,rational,,,
交流,こうりゅう,exchange; alternating current,,,
合流,合[ごう]流[りゅう],"confluence, merge, join",,,
効力,こうりょく,"effect, efficacy",,,
コース,コース,course,,,
コーラス,コーラス,chorus,,,
～国,～こく,nation of ~,,,
国王,こくおう,king,,,
国立,こくりつ,national,,,
ご苦労様,ごくろうさま,Thank you for your had work,,,
心当たり,心[こころ]当[あ]たり,"having some knowledge of, happening to know",,,
心得る,こころえる,"to understand, to have thorough knowledge",,,
腰掛け,こしかけ,"seat, bench",,,
五十音,ごじゅうおん,the Japanese syllabary,,,
こしらえる,こしらえる,"to make, to manufacture",,,
擦る,こする,"to rub, to chafe, to file, to frost (glass), to strike (match)",,,
個体,こたい,an individual,,,
ごちそうさま,ごちそうさま,Thank you for the meal,,,
こちらこそ,こちらこそ,it is I who should say so,,,
小遣い,小[こ]遣[づかい],"pocket money, allowance",,,
コック,コック,"cook; tap, cock",,,
こっそり,こっそり,"stealthily, secretly",,,
～毎,～ 毎[ごと],"every ~, each ~",,,
〜 (まる) ごと,〜 (まる) ごと,"whole ~, all of ~",,,
言付ける,言[こと]付[づ]ける,to leave a message,,,
こないだ,こないだ,"the other day, lately, recently",,,
御無沙汰,ごぶさた,not writing or contacting for a while,,,
ゴム,ゴム,"gum, rubber",,,
御免,ごめん,"declining (something); pardon, sorry",,,
ごめんください,ごめんください,"May I come in, Is anyone here",,,
小指,こゆび,little finger,,,
堪える,こらえる,"to bear, to endure, to put up with",,,
御覧,ごらん,"(hon.) look, inspection, try",,,
コレクション,コレクション,collection; correction,,,
転がす,ころがす,to roll,,,
転がる,ころがる,"to roll, to tumble",,,
紺,こん,"navy blue, deep blue",,,
コンクール,コンクール,contest (FRE: concours),,,
コンクリート,コンクリート,concrete,,,
混合,混[こん]合[ごう],"mixing, mixture",,,
コンセント,コンセント,consent; power outlet,,,
こんばんは,こんばんは,good evening,,,
サークル,サークル,"circle, sports club (e.g., at a company)",,,
在学,ざいがく,(enrolled) in school,,,
祭日,さいじつ,"national holiday, festival day",,,
催[さい]促[そく],,"demand, urge (action), press for",,,
災難,さいなん,"calamity, misfortune",,,
材木,ざいもく,"lumber, timber",,,
サイレン,サイレン,siren,,,
逆様,さかさま,"reverse, upside down",,逆さ,
捜[さが]す,,"to search, to seek, to look for",,,
遡る,さかのぼる,"to go back, to date back; ascend",,,
酒場,さかば,"bar, bar-room",,,
