Column1,Column2,Column3,Column4,Column5,Column6
一昨昨日,さきおととい,"two days before yesterday, three days ago",,,
先程,さきほど,a little while ago,,,
作者,さくしゃ,"author, artist",,,
作製,さくせい,"manufacture, production",,,
探る,さぐる,"to search, to look for, investigate",,,
囁く,ささやく,"to whisper, to murmur",,,
匙,匙[さじ],spoon,,,
座敷,ざしき,tatami room,,,
差し支え,さしつかえ,"hindrance, impediment",,,
差し引き,さしひき,"deduction, balance",,,
(かさを～) さす,(かさを～) さす,to open; hold (an umbrella),,,
流石,さすが,"indeed, truly, as one would expect",,,
雑音,ざつおん,"noise (jarring, grating)",,,
錆,さび,rust (color),,,
錆びる,さびる,"to rust, to become rusty",,,
座布団,ざぶとん,cushion (Japanese),,,
妨げる,さまたげる,"to disturb, to prevent",,,
さようなら,さようなら,good-bye,,,
サラリーマン,サラリーマン,salaryman; company employee,,,
さわやか,さわやか,"fresh, refreshing",,,
～山,～さん,the name of mountain,,,
三角,三[さん]角[かく],"triangle, triangular",,,
算数,さんすう,arithmetic,,,
産地,さんち,producing area,,,
山林,さんりん,mountain forest,,,
～史,～し,history of ~,,,
～紙,～し,"newspaper, type of paper",,,
～寺,～じ,the name of temple,,,
明明後日,しあさって,two days after tomorrow,,,
シーツ,シーツ,sheet,,,
寺院,じいん,temple,,,
しいんと (する),しいんと (する),"silent (as the grave), (deathly) quiet",,,
自衛,じえい,self-defense,,,
司会,しかい,"host, chairperson",,,
四角い,しかくい,square,,,
仕方がない,しかたがない,"it can't be helped, it's inevitable",,,
～時間目,～じかんめ,"~th hour, ~th period",,,
〜(日本) 式,～(にほん) しき,"custom,",,,
敷地,しきち,site,,,
敷く,しく,"to spread out, to lay out",,,
茂る,しげる,to grow thick,,,
持参,持[じ]参[さん],"bringing, taking, carrying",,,
四捨五入,ししゃごにゅう,rounding up (fractions),,,
始終,しじゅう,"continuously, always, constantly",,,
時速,じそく,speed (per hour),,,
死体,したい,corpse,,,
下書き,したがき,"rough copy, draft",,,
自宅,じたく,one's own home (same as 自分の家 (じぶんのいえ)),,,
下町,したまち,old parts of town,,,
自治,じち,"self-government, autonomy",,,
室～,しつ～,room,,,
～室,～しつ,counter for room,,,
実感,じっかん,"feelings, realization",,,
湿気,しっき,"moisture, humidity, dampness",,,
実習,じっしゅう,"practice, training",,,
実績,じっせき,"achievements, actual results",,,
実物,じつぶつ,an actual thing,,,
しっぽ,しっぽ,tail (animal),,,
実用,じつよう,"practical use, utility",,,
しつれいしました (かん),しつれいしました (かん),"Excuse me., I'm sorry.",,,
実例,じつれい,"example, instance",,,
私鉄,してつ,private railway,,,
紙幣,しへい,"paper money, notes, bills",,,
しぼむ,しぼむ,"to wither, to shrivel",,,
縞,しま,stripe,,,
～おしまい (おわり),～おしまい (おわり),end up ~,,,
氏名,しめい,full name,,,
締切,しめきり,deadline,,,
締め切る,しめきる,"to close, cancel",,,
しめた (かん),しめた (かん),"I've got it, all right, fine",,,
地面,じめん,"ground, earth's surface",,,
～車,～しゃ,~ car,,,
～社,～しゃ,counter for company,,,
蛇口,じゃぐち,"faucet, tap",,,
弱点,じゃくてん,"weak point, weakness",,,
車庫,しゃこ,"garage, car shed",,,
車掌,しゃしょう,(train) conductor,,,
写生,しゃせい,"sketching, drawing from nature",,,
社説,しゃせつ,editorial,,,
シャッター,シャッター,shutter,,,
車輪,しゃりん,(car) wheel,,,
洒落,しゃれ,"joke, pun, witticism",,,
じゃんけん,じゃんけん,rock-scissors-paper game,,,
～手,～しゅ,"~ player, person who does ~",,,
～酒,～ 酒[しゅ],kind of alcohol,,,
～集,～しゅう,collection of ~,,,
集会,しゅうかい,"meeting, assembly",,,
集金,しゅうきん,money collection,,,
集合,しゅうごう,"gathering, assembly",,,
習字,しゅうじ,penmanship,,,
修繕,しゅうぜん,"repair, mending",,,
じゅうたん (カーペット),じゅうたん (カーペット),carpet,,,
終点,しゅうてん,"terminus, last stop (e.g train)",,,
重点,じゅうてん,"important point, lay stress on, emphasis",,,
リズム,リズム,rhythm,,,
リボン,リボン,ribbon,,,
略す,りゃくす,to abbreviate,,,
～流,～りゅう,"fashion, manner, way",,,
流域,りゅういき,(river) basin,,,
～領,～りょう,territory,,,
両側,りょうがわ,both sides,,,
漁師,りょうし,fisherman,,,
領事,りょうじ,consul,,,
領収,領[りょう]収[しゅう],"receipt, voucher",,,
臨時,りんじ,"temporary, special, extraordinary",,,
留守番,るすばん,"care-taking, caretaker, house-watching",,,
零点,れいてん,"zero, no marks",,,
冷[れい]凍[とう],,"freezing, cold storage, refrigeration",,,
レインコート,レインコート,raincoat,,,
レクリェーション,レクリェーション,recreation,,,
列島,れっとう,chain of islands,,,
リポート,リポート,"report, paper",,,
煉瓦,れんが,brick,,,
連合,れんごう,"union, alliance",,,
レンズ,レンズ,lens,,,
ろうそく,ろうそく,candle,,蝋燭,
ローマ字,ローマじ,"romanization, Roman letters (alphabet)",,,
録音,ろくおん,(audio) recording,,,
ロッカー,ロッカー,locker,,,
ロビー,ロビー,lobby,,,
～論,～ろん,theory,,,
論ずる,ろんずる,"to argue, to discuss",,,
和～,わ～,Japanese style,,,
～羽,～わ,counter for rabbits; birds,,,
和英,わえい,Japanese-English,,,
我～,わが～,our ~,,,
若々しい,わかわかしい,"youthful, young",,,
詫びる,わびる,to apologize,,,
和服,わふく,Japanese clothes,,,
割合に,わりあいに,comparatively,,,
割算,わりざん,division (math),,,
割引,わりびき,discount,,,
ワンピース,ワンピース,one-piece dress,,,
アイデア; アイディア,アイデア; アイディア,idea,,,
扇ぐ,あおぐ,"to fan, to flap",,,
呆れる,あきれる,"to be shocked, to be appalled",,,
アクセント,アクセント,accent,,,
飽くまで,あくまで,"to the end, to the last, stubbornly",,,
明くる～,あくる～,"next, following",,,
憧れる,憧[あこが]れる,"to long for, to yearn after",,,
朝寝坊,あさねぼう,"oversleeping, late riser",,,
足跡,あしあと,footprint,,,
足元,あしもと,at one's feet,,,
あちらこちら,あちらこちら,here and there,,,
圧縮,圧[あっ]縮[しゅく],"compression, condensation, pressure",,,
宛[あて]名[な],,"address, direction",,,
当てはまる,あてはまる,"to be applicable, to come under (a category)",,,
当てはめる,あてはめる,"to apply, to adapt",,,
あぶる,あぶる,"to scorch, to roast",,,
あふれる,あふれる,"to flood, to overflow",,,
雨戸,あまど,sliding storm door,,,
甘やかす,あまやかす,"to pamper, to spoil",,,
余る,あまる,"to be left over, to be in excess",,,
怪しい,あやしい,"suspicious, dubious, doubtful",,,
有難い,ありがたい,"grateful, thankful, appreciated",,,
アンテナ,アンテナ,antenna,,,
～位,～い,~th place,,,
言い付ける,いいつける,"to tell, to order",,,
意義,いぎ,"meaning, significance",,,
幾～,いく～,several ~,,,
育児,いくじ,"childcare, nursing",,,
生け花,いけばな,flower arrangement,,,
以後,いご,after this; from now on; hereafter,,,
以降,いこう,"on and after, hereafter",,,
イコール,イコール,equal,,,
勇ましい,いさましい,"brave, valiant",,,
衣食住,いしょくじゅう,"food, clothing and shelter",,,
～いち (にほんいち),～いち (にほんいち),No. 1 ~ (in),,,
いちいち,いちいち,"one by one, separately",,,
一流,いちりゅう,"first class, leading",,,
一昨日,いっさくじつ,day before yesterday,,,
一昨年,いっさくねん,year before last,,,
一斉,いっせい,"simultaneous, all at once",,,
一旦,いったん,"once, for a moment",,,
行っていらっしゃい,いっていらっしゃい,"have a nice day, see you",,,
行ってらっしゃい,いってらっしゃい,"have a nice day, see you",,,
いってまいります,いってまいります,"(Lit.) I'll go and come back, 'I'm going, see you later'",,,
いってきます,いってきます,"(Lit.) I'll go and come back, 'I'm going, see you later'",,,
井戸,いど,water well,,,
緯度,いど,latitude (navigation),,,
煎る,いる,to roast,,,
炒る,いる,"to parch, to roast",,,
入れ物,いれもの,"container, case",,,
インキ,インキ,ink,,,
引力,いんりょく,"attraction (mag, grav)",,,
ウエートレス,ウエートレス,waitress,,,
植木,うえき,"garden shrubs, trees, potted plant",,,
飢える,うえる,to starve,,,
浮ぶ,うかぶ,"to float, to rise to surface, to come to mind",,,
浮かべる,うかべる,to float; to express,,,
浮く,うく,to float,,,
承る,うけたまわる,"(humble) to hear, to be told, to know",,,
受取,受[うけ]取[とり],receipt,,,
打[うち]合[あわ]せ,,"business meeting, previous arrangement",,,
うどん,うどん,udon noodles (Japanese traditional noodles),,,
うなずく,うなずく,to nod,,,
裏口,うらぐち,"backdoor, rear entrance",,,
占う,うらなう,"to predict, to divine",,,
恨み,うらみ,resentment,,,
羨む,うらやむ,to envy,,,
売[うり]上[あげ],,"amount sold, proceeds",,,
売り切れ,うりきれ,sold-out,,,
売り切れる,うりきれる,to be sold out,,,
売行き,うれゆき,sales,,,
うろうろ,うろうろ,"loitering, aimless wandering",,,
上～,うわ～,upper ~,,,
運河,うんが,"canal, waterway",,,
英文,えいぶん,sentence in English,,,
英和,えいわ,"English-Japanese (e.g., dictionary)",,,
ええと,ええと,"let me see, well, er...",,,
液体,えきたい,"liquid, fluid",,,
絵の具,えのぐ,"colors, paints",,,
エプロン,エプロン,apron,,,
偉い,えらい,"great, celebrated, remarkable,",,,
園芸,えんげい,"horticulture, gardening",,,
円周,えんしゅう,circumference,,,
遠足,えんそく,"trip, hike, picnic",,,
延長,えんちょう,"extension, prolongation",,,
煙突,えんとつ,chimney,,,
御～,御[おん]～,honorific ~,,,
オイル,オイル,oil,,,
王女,おうじょ,princess,,,
応ずる,応[おう]ずる,"to respond, to comply with",,,
応接,おうせつ,reception,,,
応対,おうたい,"receiving, dealing with",,,
欧米,おうべい,"Europe and America, the West",,,
応[おう]用[よう],,"application, put to practical use",,,
電波,でんぱ,electro-magnetic wave,,,
テンポ,テンポ,tempo,,,
電流,でんりゅう,electric current,,,
問い合わせ,といあわせ,inquiry,,,
～島,～とう,kind of islands,,,
銅,どう,copper,,,
～道,～どう,"kind of path, road",,,
どういたしまして (かん),どういたしまして (かん),"you are welcome, don't mention it",,,
同格,どうかく,"the same rank, equality, apposition",,,
峠,とうげ,"ridge, (mountain) pass, difficult part",,,
統計,とうけい,"scattering, a scatter, dispersion",,,
動作,どうさ,"action, movements, motions",,,
東西,とうざい,"East and West, whole country",,,
当日,とうじつ,"appointed day, very day",,,
投書,とうしょ,"letter to the editor, letter from a reader, contribution",,,
登場,とうじょう,entry (on stage),,,
灯台,とうだい,lighthouse,,,
当[とう]番[ばん],,being on duty,,,
等分,とうぶん,division into equal parts,,,
透明,とうめい,"transparency, cleanness",,,
灯油,とうゆ,"lamp oil, kerosene",,,
童話,どうわ,fairy tale,,,
～通り,～とおり,"in accordance with ~; following ~; ~ street, ~ avenue",,,
通り掛かる,とおりかかる,to happen to pass by,,,
尖る,とがる,"to taper to a point, to become sharp",,,
特殊,とくしゅ,"special, unique",,,
特色,特[とく]色[しょく],"characteristic, feature",,,
特売,とくばい,special sale,,,
溶け込む,とけこむ,to melt into; to become a part of,,,
退ける,退[ど]ける,"to dislodge, to put something out of the way",,,
床の間,とこのま,alcove,,,
～ところ,～ところ,about to do ~,,,
戸棚,とだな,"cupboard, cabinet",,,
どっと,どっと,suddenly,,,
整う,ととのう,"to be prepared, to be in order, to be arranged",,,
留まる,とどまる、とまる,"to be fixed; to abide, to stay (in the one place)",,,
殿,どの,Mister (mostly in addressing someone on an envelope),,,
ともかく,ともかく,"anyhow, at any rate, anyway",,,
捕える,とらえる,"to seize, to capture, to arrest",,,
採る,採[と]る,"to adopt (measure, proposal); to pick (fruit)",,,
捕る,とる,"to take, to catch (fish)",,,
丼,どんぶり,"porcelain bowl, bowl of rice with food on top",,,
～内,～ない,inside ~,,,
内線,ないせん,phone extension,,,
ナイロン,ナイロン,nylon,,,
長～,なが～、ちょう～,long ~,,,
長引く,ながびく,"to be prolonged, to drag on",i,,
中指,なかゆび,middle finger,,,
為す,なす,"to accomplish, to do",,,
謎謎,なぞなぞ,riddle,,,
傾らか,なだらか,"gradual, gentle",,,
撫でる,なでる,"to brush gently, to stroke",,,
斜め,ななめ,"diagonal, oblique",,,
なにしろ,なにしろ,"at any rate, in any case",,,
何々,なになに,"such and such, What?",,,
何分,何[なに]分[ぶん],"by all means, please",,,
並木,なみき,"roadside tree, row of trees",,,
倣う,ならう,"to imitate, to follow, to emulate",,,
南極,なんきょく,"south pole, Antarctic",,,
なんとなく,なんとなく,"somehow or other, for some reason or another",,,
なんとも,なんとも,"nothing (with neg. verb), quite, not a bit",,,
ナンバー,ナンバー,number,,,
南米,なんべい,South America,,,
南北,なんぼく,south and north,,,
匂う,におう,"to be fragrant, to smell",,,
逃がす,にがす,"to let loose, to set free, to let escape",,,
～難い,～がたい,hard (difficult) to do ~,,,
濁る,にごる,"to become muddy, to get cloudy",,,
虹,にじ,rainbow,,,
日時,にちじ,date and time,,,
日用品,にちようひん,daily necessities,,,
日課,にっか,"daily work, daily routine",,,
女房,にょうぼう,wife,,,
睨[にら]む,,"to glare at, to stare; to keep an eye on",,,
俄,にわか,"sudden, abrupt, unexpected",,,
ねじ,ねじ,(a) screw,,,
捩る,ねじる,to twist,,,
ネックレス,ネックレス,necklace,,,
寝間着,ねまき,"sleep-wear, pajamas",,,
狙い,ねらい,aim,,,
狙う,ねらう,to aim at,,,
～年生,～ねんせい,counter for school year,,,
年度,ねんど,"year, fiscal year",,,
農産物,のうさんぶつ,agricultural produce,,,
農村,のうそん,agricultural community,,,
濃度,のうど,"concentration, density",,,
農薬,のうやく,agricultural chemicals,,,
のこぎり,のこぎり,saw,,,
残らず,のこらず,"completely, without exception",,,
上り,のぼり,"up-train (going to Tokyo), ascent",,,
糊,のり,"glue, paste, starch",,,
乗換,のりかえ,"a transfer (e.g., trains, buses)",,,
乗り越し,のりこし,riding past (one's station),,,
呑気,呑[のん]気[き],"carefree, optimistic, careless",,,
はい (かん),はい (かん),yes,,,
灰色,はいいろ,"grey, ashen",,,
俳句,はいく,haiku poetry,,,
バイバイ,バイバイ,bye bye,,,
売買,ばいばい,"trade, buying and selling",,,
這う,はう,"to creep, to crawl",,,
剥す,はがす,"to tear off, to peel off, to rip off",,,
ばからしい,ばからしい,absurd,,,
秤,はかり,"scales, weighing machine",,,
～泊,～はく,"counter for staying (e.g., 2 nights)",,,
歯車,はぐるま,"gear, cog-wheel",,,
バケツ,バケツ,"bucket, pail",,,
挟まる,はさまる,"to get between, to be caught in",,,
挟む,挟[はさ]む,to pinch; to hold between; to insert,,,
梯子,はしご,"ladder, stairs",,,
始めに,はじめに,"to begin with, first of all",,,
初めに,はじめに,"to begin with, first of all",,,
はじめまして,はじめまして,"How do you do, I am glad to meet you",,,
斜,はす,diagonal,,,
パターン,パターン,pattern,,,
肌着,はだぎ,underwear,,,
果して,はたして,"as was expected, really",,,
鉢,はち,"a bowl, a pot",,,
×,ばつ,cross,,,
発揮,はっき,"exhibition, demonstration, display",,,
バック,バック,back,,,
発電,はつでん,"generation (e.g., power)",,,
発売,はつばい,sale,,,
話合い,はなしあい,"discussion, talk",,,
話し掛ける,話[はな]し 掛[か]ける,"to accost a person, to talk (to someone)",,,
話中,話[はなし]中[ちゅう],"while talking, the line is busy",,,
甚だしい,甚[はなは]だしい,"extreme, excessive, terrible",,,
花火,はなび,fireworks,,,
ばね,ばね,"spring (e.g., coil, leaf)",,,
破片,はへん,"fragment, broken piece",,,
歯磨き,はみがき,"toothbrushing, toothpaste",,,
はめる,,"(col) to get in, to insert, to put on",,,
早口,はやくち,fast-talking,,,
払い戻す,はらいもどす,"to repay, to pay back",,,
針金,はりがね,wire,,,
反映,はんえい,"reflection, influence",,,
半径,はんけい,radius,,,
判子,はんこ,seal (used for signature),,,
万歳,ばんざい,"banzai, Long live ~!",,,
判事,はんじ,"judge, justice",,,
番地,ばんち,"house number, address",,,
パンツ,パンツ,underpants,,,
バンド,バンド,band,,,
ハンドル,ハンドル,"handle, steering wheel",,,
～番目,～ばんめ,~th,,,
日当たり,ひあたり,"exposure to the sun, sunny place",,,
比較的,ひかくてき,comparatively; relatively,,,
日陰,日[ひ]陰[かげ],shadow,,,
引受る,ひきうける,"to undertake, to take up, to take over",,,
引算,ひきざん,subtraction,,,
卑怯,ひきょう,"cowardice, meanness, unfairness",,,
引分け,ひきわけ,"a draw (in competition), tie game",,,
陽射,ひざし,"sunlight, rays of the sun",,,
肘,ひじ,elbow,,,
ピストル,ピストル,pistol,,,
ぴたり,ぴたり,exactly; close-fitting,,,
引っ掛かる,引[ひ]っ 掛[か]かる,"to be caught in, to be stuck in",,,
筆記,ひっき,"note taking, writing",,,
引っ繰り返る,ひっくりかえる,"to be overturned, to be upset, to topple over, to be reversed",,,
必需品,必[ひつ]需[じゅ]品[ひん],"necessities, essential",,,
一～,ひと～,one ~,,,
人差指,ひとさしゆび,index finger,,,
一通り,ひととおり,"general, briefly",,,
人通り,人[ひと]通[どお]り,pedestrian traffic,,,
瞳,ひとみ,pupil (of eye),,,
一休み,ひとやすみ,a rest,,,
独り言,ひとりごと,"a soliloquy, a monologue, speaking to oneself",,,
ひとりでに,ひとりでに,"by itself, automatically, naturally",,,
ビニール,ビニール,vinyl,,,
日日,ひにち,date,,,
捻る,ひねる,"to twist, to turn",,,
日の入り,ひのいり,sunset,,,
日の出,ひので,sunrise,,,
響き,ひびき,"echo, sound",,,
響く,ひびく,to resound; to affect,,,
皮膚,ひふ,skin,,,
ひゃっかじてん,ひゃっかじてん,encyclopedia,,,
～病,～びょう,kind of disease,,,
表紙,ひょうし,"front cover, binding",,,
標識,標[ひょう]識[しき],"sign, mark",,,
標準,ひょうじゅん,"standard, level",,,
ビルディング,ビルディング,building,,,
昼寝,ひるね,"nap (at home), siesta",,,
広さ,ひろさ,extent,,,
広々,ひろびろ,"extensive, spacious",,,
ピンク,ピンク,pink,,,
便箋,びんせん,"writing paper, stationery",,,
瓶詰,びんづめ,"bottling, bottled",,,
～部,～ぶ,~ part,,,
ファスナー,ファスナー,"fastener, zipper",,,
風船,ふうせん,balloon,,,
不運,不[ふ]運[うん],"unlucky, misfortune, bad luck",,,
付近,ふきん,"neighborhood, vicinity",,,
副詞,ふくし,adverb,,,
複写,ふくしゃ,"copy, duplicate",,,
複数,ふくすう,"plural, multiple",,,
膨らます,ふくらます,"to swell, to expand, to inflate",,,
更ける,ふける,"to get late, to wear on",,,
符号,ふごう,"sign, mark, symbol",,,
夫妻,ふさい,"man and wife, married couple",,,
塞がる,ふさがる,"to be plugged up, to be shut up",,,
塞ぐ,ふさぐ,"to stuff, to close up, to block (up)",,,
無沙汰,ぶさた,neglecting to stay in contact,,,
部首,部[ぶ]首[しゅ],radical (of a kanji character),,,
襖,ふすま,sliding screen,,,
附属,ふぞく,"attached, belonging, affiliated",,,
蓋,蓋[ふた],"cover, lid, cap",,,
物騒,物[ぶっ]騒[そう],"dangerous, disturbed, insecure",,,
船便,船[ふな]便[びん],surface mail (ship),,,
父母,ふぼ,"father and mother, parents",,,
麓,ふもと,"the foot, the bottom, the base (of a mountain)",,,
フライパン,フライパン,"fry pan, frying pan",,,
ブラウス,ブラウス,blouse,,,
ぶらさげる,ぶらさげる,"to hang, to suspend, to swing",,,
プラットホーム,プラットホーム,platform,,,
～振り,～ 振[ぶ]り,after an interval of ~,,,
フリー,フリー,free,,,
振り仮名,振[ふ]り 仮[が]名[な],pronunciation key,,,
プリント,プリント,"print, handout",,,
故郷,ふるさと,"home town, birthplace",,古里,
振舞う,ふるまう,"to behave, to conduct",,,
ブローチ,ブローチ,brooch,,,
風呂敷,ふろしき,"wrapping cloth, cloth wrapper",,,
ふわふわ,ふわふわ,"light, soft",,,
分解,ぶんかい,"analysis, disassembly",,,
文芸,ぶんげい,"literature, art and literature",,,
文献,ぶんけん,"literature, books (reference)",,,
噴水,噴[ふん]水[すい],water fountain,,,
分数,ぶんすう,fraction (in math),,,
文体,ぶんたい,literary style,,,
分布,ぶんぷ,distribution,,,
文房具,ぶんぼうぐ,stationery,,,
文脈,ぶんみゃく,context,,,
分量,ぶんりょう,"amount, quantity",,,
分類,ぶんるい,classification,,,
閉会,へいかい,closure,,,
並行,へいこう,"(going) side by side, concurrent, at the same time",,,
平日,へいじつ,weekday,,,
兵隊,へいたい,soldier,,,
平凡,へいぼん,"common, ordinary",,,
凹む,へこむ,"to be dented, to be indented",,,
へそ,へそ,"navel, belly-button",,,
隔てる,へだてる,to be shut out,,,
別々,べつべつ,"separately, individually",,,
ヘリコプター,ヘリコプター,helicopter,,,
～遍,～へん,time,,,
～弁,～べん,"speech, dialect",,,
編集,へんしゅう,"editing, compilation, editorial (e.g., committee)",,,
便[べん]所[じょ],,"toilet, lavatory",,,
ペンチ,ペンチ,pliers (lit: pinchers),,,
～歩,～ほ,"step, pace",,,
～ぽい,～ぽい,~ish,,,
～ほう (ひかく),～ほう (ひかく),(in comparison),,,
防～,ぼう～,~ prevention,,,
望遠鏡,ぼうえんきょう,telescope,,,
方角,ほうがく,"direction, way",,,
箒,ほうき,broom,,,
方言,ほうげん,dialect,,,
坊さん,ぼうさん,"Buddhist priest, monk",,,
防止,防[ぼう]止[し],"prevention, check",,,
方針,ほうしん,"objective, plan, policy",,,
法則,ほうそく,"law, rule",,,
膨大,ぼうだい,"enormous, extensive",,,
包丁,ほうちょう,"kitchen knife, carving knife",,,
方程式,ほうていしき,equation,,,
防犯,ぼうはん,prevention of crime,,,
方面,ほうめん,direction; area,,,
坊や,ぼうや,boy,,,
放る,ほうる,"to throw, toss<br>Neglect, abandon",t,,
朗らか,ほがらか,"bright, cheerful, melodious",,,
牧場,ぼくじょう,farm (livestock); pasture land,,,
牧畜,ぼくちく,stock-farming,,,
保健,ほけん,"health preservation, hygiene, sanitation",,,
ポスター,ポスター,poster,,,
北極,ほっきょく,North Pole,,,
坊っちゃん,ぼっちゃん,son (of others),,,
掘る,[ほ],to dig; to excavate; to hollow<br>to delve into<br>to dig up (e.g. vegetables)<br>(for two men) to have anal sex,,,
ぼろ,ぼろ,"rag, tattered clothes",,,
盆,ぼん,Festival of the Dead; tray,,,
ほんの～,ほんの～,"mere, just",,,
本部,ほんぶ,headquarters,,,
本来,ほんらい,"essentially, naturally, by nature",,,
まあまあ,まあまあ,okay; so-so; decent,,,
毎～,まい～,every ~,,,
枚数,枚[まい]数[すう],the number of flat things,,,
毎度,まいど,"each time, common service-sector greeting",,,
枕,まくら,pillow,,,
曲げる,まげる,"to bend, to crook, to lean",,,
まごまご,まごまご,"confused, be at a loss",,,
摩擦,まさつ,friction; rubbing; chafe,,,
マスク,マスク,mask,,,
またぐ,またぐ,to straddle,,,
待合室,まちあいしつ,waiting room,,,
街角,まちかど,street corner,,,
真っ黒,まっくろ,pitch black,,,
真っ青,まっさお,"deep blue, ghastly pale",,,
真っ先,まっさき,"foremost, beginning",,,
真っ白,まっしろ,pure white,,,
祭る,まつる,"to deify, to enshrine",,,
窓口,まどぐち,(ticket) window,,,
真似る,まねる,"to mimic, to imitate",,,
まぶた,まぶた,eyelids,,,
マフラー,マフラー,a winter scarf,,,
間も無く,まもなく,"soon, in a short time",,,
マラソン,マラソン,marathon,,,
稀,まれ,"rare, seldom",,,
回り道,まわりみち,detour,,,
マンション,マンション,"multistory apartment house, condominium",,false cognate,
満点,まんてん,perfect score,,,
見掛け,みかけ,outward appearance,,,
三日月,みかづき,crescent moon,,,
みじめ,みじめ,"sad, pitiful, wretched",,,
水着,みずぎ,bathing suit (woman's),,,
店屋,みせや,"store, shop",,,
～みたい,～みたい,looks like ~,,,
道順,みちじゅん,"itinerary, route",,,
見詰める,みつめる,"to stare at, to gaze at",,,
醜い,みにくい,ugly,,,
身分,みぶん,"position, status",,,
見本,見[み]本[ほん],sample,,,
見舞う,みまう,"to ask after (health), to visit",,,
未満,みまん,"less than, insufficient",,,
名字,名[みょう]字[じ],"surname, family name",,,
ミリ (メートル),ミリ (メートル),milli-,,,
民間,みんかん,"private, civilian",,,
民主～,みんしゅ～,democratic,,,
民謡,みんよう,"folk song, popular song",,,
～向け,～むけ,for ~,,,
無限,むげん,infinite,,,
無地,むじ,plain,,,
矛盾,矛[む]盾[じゅん],"contradiction, inconsistency",,,
無数,むすう,"countless number, infinite number",,,
紫,むらさき,"purple color, violet",,,
姪,めい,niece,,,
～名,～ 名[めい],counter for people,,,
命ずる,めいずる,"to command, to appoint",,,
迷信,めいしん,superstition,,,
名物,めいぶつ,"famous product, special product, speciality",,,
銘々,めいめい,"each, individual",,,
恵まれる,恵[めぐ]まれる,"to be blessed with, to be rich in",,,
目覚し,めざまし,alarm-clock,,,
目印,めじるし,"mark, sign, landmark",,,
目立つ,めだつ,"to be conspicuous, to stand out",,,
めでたい,めでたい,"happy, propitious, joyous",,,
目安,めやす,"criterion, aim",,,
免税,めんぜい,tax exemption,,,
面倒臭い,めんどうくさい,"bother to do, tiresome",,,
